style,Name,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall
Blonde,Summer Honey Ale,Big Sky Brewing Company,Big Sky Brewing Company Summer Honey Ale,"Notes:When the days get longer and the air gets warmer, we get outside quite a bit. And we build a big thirst. Summer Honey helps us shake off the winter and slakes our thirst for a refreshing brew. Summer Honey is a full-flavored summer seasonal ale. Brewed with a unique, balanced blend of spices, Northwest Hops, and Montana honey. Summer Honey is brewed during the early days of spring and released around the first of May each year. Light colored, light bodied, and very drinkable, Summer Honey sacrifices nothing to create a flavorful beer that can be enjoyed during the height of the Summer.\t",4.7,15,25,19,46,18,36,78,24,6,27,73,28,120,3.333333,3.427083,3.392361,3.354167,3.534722
Blonde,Ballantine XXX Ale,Pabst Brewing Company,Pabst Brewing Company Ballantine XXX Ale,Notes:,4.85,15,25,18,41,4,33,27,16,2,14,64,3,51,2.817308,3.125,3.108974,3.108974,3.38141
Blonde,Molson Export,Molson Coors Canada,Molson Coors Canada Molson Export,"Notes:With over 100 years of brewing tradition behind it, Molson Export continues to grow in lore. Its history, however, could never be as rich without the original, high-quality ingredients that have come to distinguish it from other brands.We brew Molson Export with two-row barley, an exclusive strain of ale yeast that goes back to the origins of Molson Breweries, hand-selected Golding and Oregon hops and water.\t",5,15,25,19,31,6,33,30,25,0,18,39,2,43,2.75,3.117021,3.132979,3.159574,3.398936
Blonde,Lonely Blonde,Fulton Beer,Fulton Beer Lonely Blonde,"Notes:The Lonely Blonde wears a delicate fragrance of German noble hops, and slips a touch of white wheat between American pale and crystal malts for a smooth, sensuous body, fair complexion, and a pleasantly lacy white head. Crisp carbonation slinks the Lonely Blonde quickly away, and you’re left with nothing but a slight lingering sweetness as you contemplate how The Lonely Blonde can be so beautiful on so many levels.\t",4.8,15,25,26,32,19,32,45,35,4,41,50,4,92,3.3,3.4,3.466667,3.4,3.5
Blonde,Summer Blonde Ale,River Horse Brewing Co.,River Horse Brewing Co. River Horse Summer Blonde,"Notes:A light, refreshing Ale that is easy to drink yet complex. Perfect for the warmer months.\t",4.5,15,25,15,23,5,17,21,32,0,34,27,3,44,3.027778,3.194444,3.12037,3.12037,3.388889
Blonde,Knockout Blonde,Lawson's Finest Liquids,Lawson's Finest Liquids Knockout Blonde,Notes:Our blonde ale packs a zippy punch of hop aroma! This brew features a flavorful blend of North American malts and is fully loaded with Cascade and Centennial hops.\t,5,15,25,28,35,16,102,30,64,5,76,148,9,62,3.956522,4.195652,4.130435,4.195652,4.347826
Blonde,Blonde Ale,Thomas Hooker Brewing Company,Thomas Hooker Brewing Company Thomas Hooker Blonde Ale,Notes:Smooth flavor with a subtle malt sweetness accented with the delicate aroma of Czech hops. This brilliant gold ale is a mellow but flavorful microbrew.11 IBU\t,4.6,15,25,19,33,3,36,22,35,1,27,54,3,60,3.399254,3.473881,3.61194,3.55597,3.876866
Blonde,Bare Ass Blonde Ale,DuClaw Brewing Company,DuClaw Brewing Company Bare Ass Blonde Ale,"Notes:Our smoothly drinkable little blonde bombshell will turn your head with its smooth, light malt flavor, mild hop character, 5% ABV, and crisp, refreshing, fruity finish.Style: Blonde AleColor: GoldenHop Variety: Fuggle, GoldingsGrains: Pale Malt, Wheat Malt, Carapils MaltPlato: 12.5IBU: 19\t",5,15,25,25,30,6,27,32,24,3,24,39,0,66,3.366667,3.566667,3.566667,3.733333,3.8
Blonde,NOLA Blonde AleNew Orleans Lager & Ale Brewing Company (NOLA),New Orleans Lager & Ale Brewing Company (NOLA),New Orleans Lager & Ale Brewing Company (NOLA) NOLA Blonde Ale,"Notes:A great introductory craft beer, NOLA Blonde is a medium-bodied traditional American blonde ale - golden in color with floral and citrus hop aromas.\t",4.9,15,25,10,24,7,36,49,52,2,44,52,3,66,3.770833,3.9375,3.895833,3.791667,4.083333
Blonde,Alamo Golden Ale,Alamo Beer Co.,Alamo Beer Co. Alamo Golden Ale,Notes:,5.1,15,25,21,21,9,29,18,5,1,5,44,4,50,3.321429,3.357143,3.535714,3.535714,3.690476
Blonde,Golden Ale,Mayflower Brewing Company,Mayflower Brewing Company Mayflower Golden Ale,Notes:,4.7,15,25,32,34,9,29,26,17,3,17,46,7,48,3.379032,3.612903,3.620968,3.653226,3.991935
Blonde,Leffe Blonde,Abbaye de Leffe S.A.,Abbaye de Leffe S.A. Leffe Blonde,Notes:,6.6,15,30,14,23,12,13,34,11,0,28,16,22,32,3.575379,3.790812,3.586084,3.570919,3.64273
Blonde,Affligem Blond,Brouwerij De Smedt / Brouwerij Affligem,Brouwerij De Smedt / Brouwerij Affligem Affligem Blond,Notes:Affligem beers originate from the Belgian abbey founded in 1074. The citrus and tropical fruit notes followed by a malty softness and hoppy character combine to make Affligem Blonde a beautifully smooth beer with a lightly bitter finish.\t,6.8,15,30,19,28,12,20,47,36,0,38,25,17,41,3.80837,4.015419,3.848018,3.889868,3.943833
Blonde,Trappist Westvleteren BlondBrouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren Blonde,Notes:(Green Cap)\t,5.8,15,30,33,46,10,44,40,55,0,70,57,32,46,4.161111,4.218056,4.245833,4.227778,4.372222
Blonde,Devotion,The Lost Abbey,The Lost Abbey Devotion Ale,"Notes:Belgian Style dry hopped Blonde Ale. It’s an unassuming road leading to the priory. Here, off the corner of two intersecting roads, dedicated monks have been making beer for over 150 years. It’s always been a simple life — the kind that requires they brew only enough to sustain the activities of their monastery. In the silence of passing seasons, they pray, they brew and retire in solitary existence behind the sheltering walls. They live a most interesting life. Most likely one we couldn't sustain.Nearby, each summer, the trellised fields spring to life as rows of resinous green cones are trained toward the heavens. Rumor is some monks love these hops and being surrounded by budding yellow aromas and the leafy pungent fields inspired them. Since we aren't sensible enough to locate our brewery near hop fields, we can only offer this blond ale in celebration of our Abbey brethren and their steadfast Devotion.\t",6,15,30,31,33,10,74,45,49,4,72,112,38,63,3.822134,3.970356,3.816206,3.875494,3.964427
Blonde,Grimbergen Blonde,Brouwerij Alken-Maes,Brouwerij Alken-Maes Grimbergen Blonde,"Notes:The high quality raw materials make up the richness of this top-fermented beer, which is characterized by its ocher blonde color.Grimbergen Blonde is light fruity and balanced sweet-bitter. Due to its rounded flavor, this beer is highly appreciated.\t",6.7,15,30,11,31,16,19,63,57,2,45,22,25,45,3.630584,3.843643,3.680412,3.726804,3.812715
Blonde,Maredsous 6 - Blonde,Brouwerij Duvel Moortgat NV,Brouwerij Duvel Moortgat NV Maredsous 6 - Blonde,Notes:,6,15,30,13,38,12,24,66,41,0,54,45,16,66,3.739521,4.071856,3.772455,3.775449,3.892216
Blonde,Saxo,Brasserie Caracole,Brasserie Caracole Saxo,Notes:,8,15,30,17,37,26,24,92,76,3,96,61,24,61,3.933649,3.92654,3.907583,3.924171,4.004739
Blonde,La Trappe Blond (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,Bierbrouwerij De Koningshoeven B.V. La Trappe Blond (Koningshoeven / Dominus),"Notes:This scintillating golden ale boasts a rich, fruity, and fresh aroma. And a light malty and sweet taste. It has a soft bitterness with a friendly aftertaste. A well-balanced blend of complexity and simplicity. La Trappe Blond continues to ferment in the bottle.\t",6.5,15,30,23,53,28,28,61,45,0,52,36,25,45,3.672662,3.820144,3.683453,3.669065,3.76259
Blonde,Augustijn Blond,Brouwerij Van Steenberge N.V.,Brouwerij Van Steenberge N.V. Augustijn Blond,Notes:,7.5,15,30,22,31,28,20,71,40,3,64,28,29,42,3.604167,4.03125,3.645833,3.53125,3.6875
Blonde,Blond,Brasserie de l'Abbaye du Val-Dieu,Brasserie de l'Abbaye du Val-Dieu Val-Dieu Blond,Notes:,6,15,30,33,35,22,28,82,59,0,63,61,33,56,3.771277,3.941489,3.840426,3.856383,3.984043
Blonde,St. Feuillien Blonde,Brasserie St. Feuillien,Brasserie St. Feuillien St. Feuillien Blonde,Notes:,7.5,15,30,29,38,20,39,78,65,0,77,63,32,35,3.829787,3.904255,3.723404,3.904255,3.93617
Blonde,Tongerlo Blond,Brouwerij Haacht NV,Brouwerij Haacht NV Tongerlo 6 Dubbel Blond,Notes:Formerly known as Tongerlo 6 Dubbel Blond\t,6,15,30,15,38,16,27,75,44,5,43,37,34,62,3.5,3.7,3.3,3.3,3.433333
Blonde,Belgian Blonde,BottleTree Beer Co.,BottleTree Beer Co. BottleTree Belgian Blonde,Notes:,5,15,30,21,32,10,30,54,50,3,59,45,22,62,3.604167,3.6875,3.541667,3.5,3.708333
Blonde,La Binchoise Blonde TraditionBrasserie La Binchoise (Malterie des Remparts),Brasserie La Binchoise (Malterie des Remparts),Brasserie La Binchoise (Malterie des Remparts) La Binchoise Blonde Tradition,Notes:,6.5,15,30,16,43,19,27,82,65,0,79,44,29,39,3.72807,3.842105,3.842105,3.885965,4
Blonde,Steenbrugge Blond,Brouwerij Palm NV,Brouwerij Palm NV Steenbrugge Blond,Notes:,6.5,15,30,18,38,21,28,81,64,0,66,49,35,66,3.605263,3.710526,3.631579,3.578947,3.552632
Blonde,Abbaye De Floreffe Blonde,Brasserie Lefèbvre SA,Brasserie Lefèbvre SA Abbaye De Floreffe Blonde,Notes:,6.3,15,30,17,25,15,33,76,44,3,49,55,30,65,3.588235,3.735294,3.588235,3.735294,3.823529
Blonde,La Gauloise Blonde,Brasserie Du Bocq,Brasserie Du Bocq La Gauloise Blonde,Notes:,6.3,15,30,27,35,20,27,54,54,4,54,33,34,57,3.5,3.619048,3.428571,3.47619,3.714286
Blonde,Valeir Blond,Brouwerij Contreras,Brouwerij Contreras Valeir Blond,Notes:,6.5,15,30,22,34,10,37,89,76,1,71,52,26,72,3.875,3.875,3.825,3.925,3.975
Blonde,Celestial Blonde Ale,Old Forge Brewing Company,Old Forge Brewing Company Celestial Blond Ale,Notes:,7,15,30,13,21,13,17,39,27,0,35,25,16,29,3.625,3.75,3.5,3.75,3.75
Blonde,'t Smisje Blond,Brouwerij Smisje,Brouwerij Smisje 't Smisje Blond,Notes:,6,15,30,11,34,14,21,31,82,0,79,43,15,22,3.260417,3.572917,3.260417,3.083333,3.03125
Blonde,Wendelinus Blonde,Brasserie Meteor,Brasserie Meteor Wendelinus,"Notes:Another idea from the abbey...Brewed in the tradition of the monks of Wissembourg, who had their beer made on the current site of the brewery, Wendelinus is the result of a centuries-old know-how. Beneath its amber colour and creamy head is an abbey beer with a range of flavours that mature on the palate with every mouthful. Strong, with a pleasant touch of bitterness, this is a beer to be savoured for its persistent mellowness and caramelized fruity flavours. Take your time with it!\t",6.8,15,30,16,40,19,26,94,44,0,52,41,36,71,3.7,3.533333,3.433333,3.466667,3.466667
Blonde,Ename Blond,Brouwerij Roman N.V.,Brouwerij Roman N.V. Ename Blond,Notes:,6.5,15,30,12,11,6,9,13,16,0,11,12,2,7,3.3,3.7,3.1,3.1,3.1
Blonde,Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Brasserie Val De Sambre,Brasserie Val De Sambre Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Notes:,6,15,30,22,44,7,28,60,46,0,45,38,28,31,3.558824,3.558824,3.529412,3.558824,3.558824
Blonde,Viven Blond,Brouwerij Van Viven,Brouwerij Van Viven Viven Blond,Notes:,6.1,15,30,14,27,9,21,51,41,3,57,44,19,28,3.875,3.5,3.75,3.875,3.875
Blonde,Summer Belgian-Style Blonde Ale,Choc Beer Co. / Pete's Place,Choc Beer Co. / Pete's Place Belgian-Style Blonde Ale,Notes:26 IBU\t,5.5,15,30,32,34,10,25,51,58,0,72,32,43,61,3.529412,3.352941,3.735294,3.705882,3.764706
Blonde,Pater Lieven Blond,Brouwerij Van den Bossche,Brouwerij Van den Bossche Pater Lieven Blond,Notes:,6.5,15,30,10,18,4,13,27,21,0,21,20,8,16,3.3125,3.6875,3.4375,3.5625,3.5
Brown,Indian Brown Ale,Dogfish Head Brewery,Dogfish Head Brewery Indian Brown Ale,"Notes:Also known as Indian Brown Dark IPAForget about the car companies, this is the original hybrid. A cross between a Scotch Ale, an India Pale Ale and an American Brown, Indian Brown Ale is well-hopped and malty at the same time (It's magical!).The beer has characteristics of each style that inspired it: the color of an American Brown, the caramel notes of a Scotch Ale, and the hopping regiment of an India Pale Ale. We dry-hop the Indian Brown Ale in a similar fashion to our 60 Minute IPA and 90 Minute IPA. This beer is brewed with Aromatic barley and organic brown sugar.50 IBU\t",7.2,25,45,10,42,18,82,53,13,0,15,71,6,93,4.017743,4.048284,4.000582,4.173357,4.034031
Brown,Palo Santo Marron,Dogfish Head Brewery,Dogfish Head Brewery Palo Santo Marron,"Notes:An unfiltered, unfettered, unprecedented brown ale aged in handmade wooden brewing vessels. The caramel and vanilla complexity unique to this beer comes from the exotic Paraguayan Palo Santo wood from which these tanks were crafted. Palo Santo means ""holy tree,"" and its wood has been used in South American wine-making communities.50 IBU\t",12,25,45,13,52,29,34,65,9,1,24,14,27,88,4.158338,4.110777,4.116195,4.220951,3.928958
Brown,Hazelnut Brown Nectar,Rogue Ales,Rogue Ales Hazelnut Brown Nectar,"Notes:13 Ingredients:Malts: Harrington, Klages, Munich, Hugh Baird Brown, Carastan 13-17, Crystal 70-80, Crystal 135-165 & Beeston Chocolate.Hops: Perle and Sterling.Specialty: Hazelnut Nectar.Yeast & Water: Rogue's Pacman Yeast & Free Range Coastal Water.14 Plato33 IBU73.6 AA36 L\t",5.6,25,45,6,66,9,32,77,8,0,21,27,14,157,4.066375,3.978537,3.963037,4.149046,4.054054
Brown,Moose Drool Brown Ale,Big Sky Brewing Company,Big Sky Brewing Company Moose Drool Brown Ale,"Notes:It's chocolate brown in color with a creamy texture. A malty beer with just enough hop presence to keep it from being too sweet. The aroma mostly comes from the malt with a hint of spice added by the hops. Moose Drool is brewed with pale, caramel, chocolate, and whole black malts; and Kent Goldings, Liberty, and Willamette hops.\t",5.1,25,45,9,52,4,49,57,5,0,7,36,10,101,3.614721,3.80305,3.605438,3.70557,3.807692
Brown,Old Brown Dog,Smuttynose Brewing Company,Smuttynose Brewing Company Smuttynose Old Brown Dog Ale,"Notes:Old Brown Dog has been cited as a classic example of the “American Brown Ale” style of beer. Compared to a typical English Brown Ale, Old Brown Dog is fuller-bodied and more strongly hopped.18 IBU\t",6.7,25,45,14,37,9,51,50,5,0,5,58,3,91,3.754854,3.793689,3.823422,3.95267,4.003034
Brown,Coffee Bender,Surly Brewing Company,Surly Brewing Company Coffee Bender,Notes:Bender steeped cold for 24 hours in coarsely ground coffee beans from the Vinca Vista Hermosa plantation in Guatemala.\t,5.5,25,45,28,87,9,139,66,16,0,10,64,15,207,4.199362,4.094099,3.985646,4.181818,4.191388
Brown,Wilco Tango Foxtrot,Lagunitas Brewing Company,Lagunitas Brewing Company Wilco Tango Foxtrot,"Notes:Rich, smooth, dangerous, and chocolatey. It's a big ol' hoppy Imperial Brown Ale to help you with your slippery slide on into the heat of the night.\t",7.85,25,45,8,72,15,92,70,33,0,30,95,3,124,3.899329,4.000839,3.873322,3.924497,3.931208
Brown,Ellie's Brown Ale,Avery Brewing Company,Avery Brewing Company Ellie's Brown Ale,"Notes:Chocolate malt gives this beer a brown sugar maltiness with hints of vanilla and nuts, while subtle hopping gives it an overall drinkability that’s second to none.IBUs: 17\t",5.5,25,45,10,48,8,40,48,3,0,5,31,9,98,3.726148,3.910777,3.80212,3.949647,3.975265
Brown,Bender,Surly Brewing Company,Surly Brewing Company Bender,"Notes:Here's what happens when substance meets smooth. This oatmeal brown ale defies traditional categories. Bender begins crisp and lightly hoppy, complemented by the velvety sleekness oats deliver. Belgian and British malts usher in cascades of cocoa, coffee, carmel and hints of vanilla and cream. An easy-drinking ale with many layers of satisfaction.\t",5.5,25,45,10,75,12,62,71,6,0,8,47,11,155,4.004392,4.13104,4.099561,4.18448,4.285505
Brown,Sumatra Mountain Brown,Founders Brewing Company,Founders Brewing Company Founders Sumatra Mountain Brown,"Notes:This bold, imperial brown ale gets its body from a team of malts including Caramel malt for sweetness, flaked barley for dense foam, a bit of Chocolate malt for its deep color and Aromatic and Munich malts to add even more depth. German and Perle hops add a touch of bitterness to balance the malty sweetness. The addition of rich Sumatra coffee takes this perfectly balanced imperial brown ale to a decadent level.\t",9,25,45,8,103,27,106,105,9,3,12,33,13,218,4,3.9,4,4.4,4.1
Brown,Koko Brown,Kona Brewing Co.,Kona Brewing Co. Koko Brown,"Notes:Koko Brown's distinctive, nutty aroma and flavor comes from real, toasted coconut blended into each brew. One sip of this smooth, mahogany colored ale and you'll feel like you're on a warm, sun drenched beach in Hawaii. Crack one open!\t",5.5,25,45,8,43,7,25,43,4,0,61,23,3,80,3.604839,3.620968,3.475806,3.701613,3.548387
Brown,Pecan Ale,Abita Brewing Co.,Abita Brewing Co. Pecan Harvest Ale,"Notes:Formerly Pecan Harvest AlePecan Harvest Ale is made with real Louisiana pecans that have been toasted to perfection. That makes it something really special, because most beers with a nutty flavor or aroma aren’t made with real nuts. The natural oils from the Louisiana pecans give the ale a light pecan finish and aroma.20 IBU\t",5.2,25,45,11,37,6,19,44,6,0,7,24,4,146,3.38354,3.509317,3.231366,3.330745,3.431677
Brown,Rocky's Revenge Bourbon Brown,Tyranena Brewing Company,Tyranena Brewing Company Rocky's Revenge Bourbon Brown,"Notes:Deep in the darkest depths of Rock Lake dwells a great saurian known today as Rocky. The legend of Rocky is old. The ancient inhabitants of Aztalan warned of the beast by building a giant serpent mound at the lake's edge. The early residents of Lake Mills were forewarned of a guardian placed in its lake to protect its sacred stone tepees. And history tells of numerous encounters with Rocky, who became a source of great worry and fear. Although not seen for over a century, divers still experience a feeling of dread and being watched. Enjoy Rocky's Revenge, our offering to this legendary protector of Tyranena.\t",6,25,45,9,59,46,18,60,0,0,5,16,19,128,3.71865,3.782958,3.680064,3.836013,3.842444
Brown,Bellaire Brown Ale,Short's Brewing Company,Short's Brewing Company Short's Bellaire Brown Ale,"Notes:Bellaire Brown is our flagship Brown Ale. Full-flavored with notes of sweet caramel, chocolate, and toasted malt, Bellaire Brown is balanced with a mild and earthy hop quality. This ale is dark and rich with a medium body. It’s hardly classifiable as a brown, but is certainly considered a delicious masterpiece.Bellaire Brown was originally created to appeal to people who enjoyed drinking coffee, and to beer drinkers who are not interested in hoppy options. When Joe Short was creating the Bellaire Brown recipe, he desired a beer that was meatier and burlier than most browns. Bellaire Brown is a great gate-way beer for drinkers to be introduced to darker beer varieties.19 IBU\t",7,25,45,11,63,10,24,72,5,0,11,22,4,118,3.732843,3.789216,3.779412,3.828431,3.904412
Brown,Brown Ale,The Duck-Rabbit Craft Brewery,The Duck-Rabbit Craft Brewery Duck-Rabbit Brown Ale,Notes:The Duck-Rabbit Brown Ale is an American brown brewed with loads of hops from start to finish (it's hoppy and beautifully bitter). Amarillo boil hops provide a spicy citrusy bitterness. Saaz dry hops offer a refined flowery aroma. These hops are supported by seven varieties of malt. The Duck-Rabbit Brown Ale is a great choice for anyone who appreciates assertive hops and nutty toasted malt flavors – oh yeah!\t,5.6,25,45,15,71,11,93,47,12,1,13,97,10,99,3.744027,3.988055,3.638225,3.723549,3.762799
Brown,Dos Perros,Yazoo Brewing Company,Yazoo Brewing Company Dos Perros,"Notes:Many Mexican beer styles today are descendants of old Austrian styles, from when Austria ruled Mexico in the late 19th century. Our Dos Perros is made with German Munich malt, English Pale malt, and Chocolate malt, and hopped with Perle and Saaz hops. To lighten the body, as many Mexican brewers do, we add a small portion of flaked maize. The result is a wonderfully bready malt aroma, balanced with some maize sweetness and a noble hop finish.21 IBU\t",4.9,25,45,12,52,1,29,56,4,2,5,25,8,127,3.576923,3.557692,3.5,3.626923,3.811538
Brown,Good Humans Ale (Dry Hopped Double Brown Ale),Short's Brewing Company,Short's Brewing Company Good Humans,"Notes:Good Humans was originally created to showcase one of Briess Malting Company’s new malt varieties. Originally planned as a one-off beer, it quickly became a favorite brew. Good Humans is a Double Brown Ale made with Carabrown Malt and dry hopped with Simcoe and Golding hops. The brew has sweet malty esters that are met by huge toasted caramel and toffee flavors. The finish is dry with a bouquet of hops.40 IBU\t",9.15,25,45,16,59,20,65,65,24,0,26,90,8,117,3.892,3.868,3.768,3.804,3.772
Brown,Sweet Josie Brown Ale,Lonerider Brewing,Lonerider Brewing Sweet Josie Brown Ale,Notes:,6.1,25,45,8,57,7,29,76,6,0,9,23,3,103,3.702381,3.892857,3.571429,3.821429,3.857143
Brown,Bravo 2017,Firestone Walker Brewing Co.,Firestone Walker Brewing Co. Bravo Brown,Notes:Imperial Brown Ale - This beer is then aged for up to a year in used Heaven Hill bourbon barrels.\t,13.2,25,45,7,38,45,20,71,16,2,22,15,20,95,4.5,4.0625,4.125,4.4375,4.1875
Brown,Flashback Ale,Boulder Beer / Wilderness Pub,Boulder Beer / Wilderness Pub Flashback Ale,Notes:Originally brewed for Boulder Beer's 30th Anniversary. An India Brown Ale. 65 IBU\t,6.8,25,45,17,74,15,98,48,31,2,30,122,17,118,3.795367,3.994208,3.849421,3.889961,3.911197
Brown,Madtown Nutbrown,Ale Asylum,Ale Asylum Mad Town Nut Brown,Notes:A blend of seven unique malts give this brown ale an earthy aroma and a flavor reminiscent of caramel with a slightly creamy finish.\t,5.5,25,45,9,86,3,24,61,9,0,8,31,1,121,3.617188,3.765625,3.71875,3.8125,3.78125
Brown,Over Ale,Half Acre Beer Company,Half Acre Beer Company Over Ale,"Notes:Originally brewed as an ESB, but is now brewed as an American Brown Ale.\t",6,25,45,17,66,6,59,56,10,0,12,80,4,113,3.678218,3.940594,3.816832,3.861386,3.975248
